2016-02-23 13:17:05,754 |0.0.0.0-8443-exec-60 |RequestHandler                |I| Rendering View [main], sessionId=8FBC5D3CA47E4012383D1A403CF6D186.jvm1
2016-02-23 13:17:05,756 |0.0.0.0-8443-exec-60 |ServiceDispatcher             |T| Sync service [webtools/getUserPreferenceGroup] finished in [1] milliseconds
2016-02-23 13:17:05,759 |0.0.0.0-8443-exec-60 |ServiceDispatcher             |T| Sync service [webtools/getVisualThemeResources] finished in [1] milliseconds
2016-02-23 13:17:05,763 |0.0.0.0-8443-exec-60 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:17:05,765 |0.0.0.0-8443-exec-60 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2016-02-23 13:17:05,767 |0.0.0.0-8443-exec-60 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:17:05,768 |0.0.0.0-8443-exec-60 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [1] milliseconds
2016-02-23 13:17:05,769 |0.0.0.0-8443-exec-60 |ModelService                  |I| Set default value [SECURITY] for parameter [primaryPermission]
2016-02-23 13:17:05,771 |0.0.0.0-8443-exec-60 |ServiceDispatcher             |T| Sync service [webtools/securityPermissionCheck] finished in [2] milliseconds
2016-02-23 13:17:05,785 |0.0.0.0-8443-exec-60 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2016-02-23 13:17:05,789 |0.0.0.0-8443-exec-60 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Done- total:0.037,since last([main(Domain:http...):0.037]]
2016-02-23 13:17:59,720 |0.0.0.0-8443-exec-65 |ContextFilter                 |I| [Domain]: localhost [Request]: /webtools/control/main
2016-02-23 13:17:59,720 |0.0.0.0-8443-exec-65 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
