2016-02-19 15:25:30,204 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2016-02-19 15:25:30,204 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-02-19 15:25:30,204 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
2016-02-19 15:25:30,206 |main                 |ModelViewEntity               |W| [OrderReportSalesGroupByProduct]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-02-19 15:25:30,207 |main                 |ModelViewEntity               |W| [OrderItemAndShipGrpInvResAndItemSum]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2016-02-19 15:25:30,207 |main                 |ModelViewEntity               |W| [OrderItemAndShipGrpInvResAndItemSum]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: totQuantityAvailable
2016-02-19 15:25:30,226 |main                 |ModelReader                   |I| FINISHED LOADING ENTITIES - ALL FILES; #Entities=843 #ViewEntities=259 #Fields=8782 #Relationships=2902 #AutoRelationships=2155
2016-02-19 15:25:30,242 |main                 |GenericDelegator              |I| Doing entity definition check...
2016-02-19 15:25:30,245 |main                 |ModelEntityChecker            |I| [initReservedWords] array length=1025
2016-02-19 15:28:13,358 |main                 |ContainerLoader               |I| [Startup] Loading containers from C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework/base/config/ofbiz-containers.xml for loaders {main, rmi}
2016-02-19 15:28:13,532 |main                 |ContainerLoader               |I| Loading container: component-container
2016-02-19 15:28:13,554 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/framework]
2016-02-19 15:28:13,599 |main                 |ComponentContainer            |I| Loading component : [base]
2016-02-19 15:28:13,625 |main                 |ComponentContainer            |I| Loading component : [geronimo]
2016-02-19 15:28:13,639 |main                 |ComponentContainer            |I| Loading component : [sql]
2016-02-19 15:28:13,664 |main                 |ComponentContainer            |I| Loading component : [entity]
2016-02-19 15:28:13,689 |main                 |ComponentContainer            |I| Loading component : [security]
2016-02-19 15:28:13,704 |main                 |ComponentContainer            |I| Loading component : [datafile]
2016-02-19 15:28:13,718 |main                 |ComponentContainer            |I| Loading component : [minilang]
2016-02-19 15:28:13,744 |main                 |ComponentContainer            |I| Loading component : [common]
2016-02-19 15:28:13,772 |main                 |ComponentContainer            |I| Loading component : [service]
2016-02-19 15:28:13,813 |main                 |ComponentContainer            |I| Loading component : [catalina]
2016-02-19 15:28:13,833 |main                 |ComponentContainer            |I| Loading component : [entityext]
2016-02-19 15:28:13,850 |main                 |ComponentContainer            |I| Loading component : [bi]
2016-02-19 15:28:13,863 |main                 |ComponentContainer            |I| Loading component : [webapp]
2016-02-19 15:28:13,876 |main                 |ComponentContainer            |I| Loading component : [widget]
2016-02-19 15:28:13,889 |main                 |ComponentContainer            |I| Loading component : [testtools]
2016-02-19 15:28:13,900 |main                 |ComponentContainer            |I| Loading component : [webtools]
2016-02-19 15:28:13,914 |main                 |ComponentContainer            |I| Loading component : [images]
2016-02-19 15:28:13,914 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/themes]
2016-02-19 15:28:13,929 |main                 |ComponentContainer            |I| Loading component : [flatgrey]
2016-02-19 15:28:13,943 |main                 |ComponentContainer            |I| Loading component : [tomahawk]
2016-02-19 15:28:13,943 |main                 |ComponentContainer            |I| Auto-Loading component directory : [C:/Data/eclipse/ofbiz/apache-ofbiz-13.07.02/applications]
2016-02-19 15:28:13,961 |main                 |ComponentContainer            |I| Loading component : [party]
2016-02-19 15:28:13,973 |main                 |ComponentContainer            |I| Loading component : [securityext]
2016-02-19 15:28:13,986 |main                 |ComponentContainer            |I| Loading component : [content]
2016-02-19 15:28:14,000 |main                 |ComponentContainer            |I| Loading component : [workeffort]
2016-02-19 15:28:14,014 |main                 |ComponentContainer            |I| Loading component : [product]
