2016-02-25 18:10:25,048 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,049 |0.0.0.0-8080-exec-44 |CmsEvents                     |I| Path INFO for Alias: themes/images/products/8.jpg
2016-02-25 18:10:25,050 |0.0.0.0-8080-exec-44 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:25,050 |0.0.0.0-8080-exec-47 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,050 |0.0.0.0-8080-exec-47 |CmsEvents                     |I| Path INFO for Alias: themes/images/products/kindle.png
2016-02-25 18:10:25,052 |0.0.0.0-8080-exec-47 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:25,052 |0.0.0.0-8080-exec-44 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,052 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.004,since last([themes(Domain:ht...):0.004]]
2016-02-25 18:10:25,054 |0.0.0.0-8080-exec-47 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,055 |0.0.0.0-8080-exec-47 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.005,since last([themes(Domain:ht...):0.005]]
2016-02-25 18:10:25,063 |0.0.0.0-8080-exec-32 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,063 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,063 |0.0.0.0-8080-exec-44 |CmsEvents                     |I| Path INFO for Alias: themes/images/products/panasonic.jpg
2016-02-25 18:10:25,063 |0.0.0.0-8080-exec-32 |CmsEvents                     |I| Path INFO for Alias: themes/images/payment_methods.png
2016-02-25 18:10:25,064 |0.0.0.0-8080-exec-32 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:25,064 |0.0.0.0-8080-exec-44 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:25,065 |0.0.0.0-8080-exec-44 |ServiceDispatcher             |T| Sync service [ecommerce/getUserPreferenceGroup] finished in [1] milliseconds
2016-02-25 18:10:25,065 |0.0.0.0-8080-exec-32 |ServiceDispatcher             |T| Sync service [ecommerce/getUserPreferenceGroup] finished in [1] milliseconds
2016-02-25 18:10:25,066 |0.0.0.0-8080-exec-32 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,066 |0.0.0.0-8080-exec-32 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.003,since last([themes(Domain:ht...):0.003]]
2016-02-25 18:10:25,067 |0.0.0.0-8080-exec-44 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,067 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.004,since last([themes(Domain:ht...):0.004]]
2016-02-25 18:10:25,070 |0.0.0.0-8080-exec-46 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,070 |0.0.0.0-8080-exec-46 |CmsEvents                     |I| Path INFO for Alias: themes/images/products/11.jpg
2016-02-25 18:10:25,072 |0.0.0.0-8080-exec-46 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:25,074 |0.0.0.0-8080-exec-46 |ServiceDispatcher             |T| Sync service [ecommerce/getUserPreferenceGroup] finished in [2] milliseconds
2016-02-25 18:10:25,076 |0.0.0.0-8080-exec-46 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,076 |0.0.0.0-8080-exec-46 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.006,since last([themes(Domain:ht...):0.006]]
2016-02-25 18:10:25,082 |0.0.0.0-8080-exec-46 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,083 |0.0.0.0-8080-exec-46 |CmsEvents                     |I| Path INFO for Alias: themes/images/ico-cart.png
2016-02-25 18:10:25,084 |0.0.0.0-8080-exec-46 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:25,085 |0.0.0.0-8080-exec-46 |ServiceDispatcher             |T| Sync service [ecommerce/getUserPreferenceGroup] finished in [1] milliseconds
2016-02-25 18:10:25,096 |0.0.0.0-8080-exec-46 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,096 |0.0.0.0-8080-exec-46 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.013,since last([themes(Domain:ht...):0.013]]
2016-02-25 18:10:25,111 |0.0.0.0-8080-exec-46 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,112 |0.0.0.0-8080-exec-46 |CmsEvents                     |I| Path INFO for Alias: themes/images/products/7.jpg
2016-02-25 18:10:25,112 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,113 |0.0.0.0-8080-exec-44 |CmsEvents                     |I| Path INFO for Alias: themes/images/products/10.jpg
2016-02-25 18:10:25,113 |0.0.0.0-8080-exec-44 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:25,115 |0.0.0.0-8080-exec-46 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:25,116 |0.0.0.0-8080-exec-46 |ServiceDispatcher             |T| Sync service [ecommerce/getUserPreferenceGroup] finished in [1] milliseconds
2016-02-25 18:10:25,118 |0.0.0.0-8080-exec-44 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,118 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.006,since last([themes(Domain:ht...):0.006]]
2016-02-25 18:10:25,119 |0.0.0.0-8080-exec-46 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,119 |0.0.0.0-8080-exec-46 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.007,since last([themes(Domain:ht...):0.007]]
2016-02-25 18:10:25,127 |0.0.0.0-8080-exec-46 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,128 |0.0.0.0-8080-exec-46 |CmsEvents                     |I| Path INFO for Alias: themes/images/products/9.jpg
2016-02-25 18:10:25,128 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,128 |0.0.0.0-8080-exec-44 |CmsEvents                     |I| Path INFO for Alias: themes/images/products/b2.jpg
2016-02-25 18:10:25,129 |0.0.0.0-8080-exec-46 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:25,129 |0.0.0.0-8080-exec-44 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:25,130 |0.0.0.0-8080-exec-44 |ServiceDispatcher             |T| Sync service [ecommerce/getUserPreferenceGroup] finished in [1] milliseconds
2016-02-25 18:10:25,131 |0.0.0.0-8080-exec-46 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,131 |0.0.0.0-8080-exec-44 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,131 |0.0.0.0-8080-exec-46 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.004,since last([themes(Domain:ht...):0.004]]
2016-02-25 18:10:25,131 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.003,since last([themes(Domain:ht...):0.003]]
2016-02-25 18:10:25,137 |0.0.0.0-8080-exec-46 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,137 |0.0.0.0-8080-exec-46 |CmsEvents                     |I| Path INFO for Alias: themes/images/products/b1.jpg
2016-02-25 18:10:25,138 |0.0.0.0-8080-exec-46 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:25,142 |0.0.0.0-8080-exec-46 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,142 |0.0.0.0-8080-exec-46 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.005,since last([themes(Domain:ht...):0.005]]
2016-02-25 18:10:25,150 |0.0.0.0-8080-exec-46 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,150 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,151 |0.0.0.0-8080-exec-44 |CmsEvents                     |I| Path INFO for Alias: themes/images/products/5.jpg
2016-02-25 18:10:25,151 |0.0.0.0-8080-exec-46 |CmsEvents                     |I| Path INFO for Alias: themes/images/products/1.jpg
2016-02-25 18:10:25,151 |0.0.0.0-8080-exec-32 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.0]]
2016-02-25 18:10:25,151 |0.0.0.0-8080-exec-32 |CmsEvents                     |I| Path INFO for Alias: themes/images/products/2.jpg
2016-02-25 18:10:25,152 |0.0.0.0-8080-exec-46 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:25,152 |0.0.0.0-8080-exec-44 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:25,153 |0.0.0.0-8080-exec-32 |CmsEvents                     |W| Could not verify contentId [themes] to webSiteId [WebStore], returning code: 404
2016-02-25 18:10:25,153 |0.0.0.0-8080-exec-46 |ServiceDispatcher             |T| Sync service [ecommerce/getUserPreferenceGroup] finished in [1] milliseconds
2016-02-25 18:10:25,155 |0.0.0.0-8080-exec-44 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,155 |0.0.0.0-8080-exec-44 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.005,since last([themes(Domain:ht...):0.005]]
2016-02-25 18:10:25,156 |0.0.0.0-8080-exec-32 |RequestHandler                |I| Ran Event [java:org.ofbiz.content.cms.CmsEvents#cms] from [request], result is [success]
2016-02-25 18:10:25,156 |0.0.0.0-8080-exec-32 |ControlServlet                |T| [[[themes(Domain:http://localhost)] Request Done- total:0.005,since last([themes(Domain:ht...):0.005]]
